2022 年 3 月 9 日 , Core Keeper, 购买 微信支付 ¥ 38.70
2022 年 2 月 26 日 , Chronicon, 购买 微信支付 ¥ 31.49
2022 年 2 月 4 日 , 暖雪 Warm Snow, 购买 微信支付 ¥ 58.00
2022 年 1 月 21 日 , Mirror 2: Project X, 购买 微信支付 ¥ 6.60
2022 年 1 月 5 日 , 觅长生, 购买 微信支付 ¥ 43.20
2022 年 1 月 3 日 , Outer Wilds Outer Wilds - Echoes of the Eye, 购买 微信支付 ¥ 85.12
2022 年 1 月 1 日 , Oxygen Not Included - Spaced Out!, 购买 微信支付 ¥ 24.00
2021 年 12 月 11 日 , 了不起的修仙模拟器 - 武当仙踪 了不起的修仙模拟器 - 竹林深处, 购买 微信支付 ¥ 36.00
2021 年 12 月 11 日 , 双人成行, 购买 微信支付 ¥ 122.76
2021 年 12 月 10 日 , A Bird Story, 购买 微信支付 ¥ 18.00
2021 年 12 月 5 日 , Wallpaper Engine, 购买 微信支付 ¥ 19.00
2021 年 12 月 2 日 , Fell Seal: Arbiter's Mark 退款, 退款 微信支付 ¥ 38.28
2021 年 12 月 1 日 , 东方梦零魂, 购买 微信支付 ¥ 38.50
2021 年 11 月 28 日 , 东方华彩乱战2 东方华彩乱战2 - OST原声音乐集1 东方华彩乱战2 - OST原声音乐集2 东方华彩乱战2 - 可用人物补充包1 蕾米莉亚/古明地觉/秋静叶/九十九弁弁/依神紫苑 东方华彩乱战2 - 可用人物补充包2 芙兰朵露/古明地恋/秋穰子/九十九八桥/依神女苑 东方华彩乱战2 - 可用人物补充包3 八云紫/八意永琳/八坂神奈子/纯狐/风见幽香 东方华彩乱战2 - 可用人物补充包4 伊吹萃香/茨木华扇/四季映姬/比那名居天子/秦心, 购买 微信支付 ¥ 74.30
2021 年 11 月 28 日 , To The Moon, 购买 微信支付 ¥ 12.24
2021 年 11 月 28 日 , Fell Seal: Arbiter's Mark Fell Seal: Arbiter's Mark - Missions and Monsters, 购买 微信支付 ¥ 63.28
2021 年 11 月 28 日 , Ori and the Will of the Wisps, 购买 微信支付 ¥ 29.70
2021 年 11 月 27 日 , Raft 退款, 退款 微信支付 ¥ 45.56
2021 年 11 月 27 日 , Raft, 购买 微信支付 ¥ 45.56
2021 年 11 月 26 日 , 轩辕剑叁外传天之痕, 购买 微信支付 ¥ 33.15
2021 年 11 月 26 日 , Divinity: Original Sin 2 - Eternal Edition, 购买 微信支付 ¥ 123.00
2021 年 11 月 26 日 , Limbo INSIDE, 购买 微信支付 ¥ 23.40
2021 年 11 月 20 日 , Lost Ruins 退款, 退款 微信支付 ¥ 49.00
2021 年 11 月 20 日 , Lost Ruins, 购买 微信支付 ¥ 49.00
2021 年 11 月 13 日 , SteamWorld Dig 2, 购买 微信支付 ¥ 21.00
2021 年 11 月 6 日 , Noita, 购买 微信支付 ¥ 70.00
2021 年 11 月 5 日 , 艾尔登法环, 购买 微信支付 ¥ 298.00
2021 年 11 月 1 日 , 轩辕剑贰 轩辕剑外传枫之舞 轩辕剑黄金纪念版精选音乐集, 购买 微信支付 ¥ 31.68
2021 年 10 月 23 日 , Circle Empires Circle Empires: Apex Monsters! Circle Empires Rivals Circle Empires Rivals Soundtrack Circle Empires Soundtrack Circle Empires Rivals: Forces of Nature, 购买 微信支付 ¥ 57.24
2021 年 10 月 23 日 , Grand Theft Auto V Grand Theft Auto V - Criminal Enterprise Starter Pack Grand Theft Auto V Criminal Enterprise Starter Pack 退款, 退款 微信支付 ¥ 58.46
